INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
"Mapa de Conocimiento - Wiki-GCO-DASCD
https://doku.serviciocivil.gov.co/doku.php?id=start","Diseño en el sistema wiki de un espacio para cargar los links y así ubicar el conocimiento explícito y tácito para aportar al logro de los productos de las políticas, las metas institucionales (planeación: estratégica y operativa) y realizar actividades (de los procesos); en el marco del MIPG.",11,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Medición Clima Laboral,Crear la medición del Clima Laboral en el Distrito a través del aplicativo del Sistema distrital para la información del TH - SIDEAP,12,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Índice de Desarrollo del Servicio Civil,"Sistematizar en el aplicativo del SIDEAP, la medición del Índice de Desarrollo en el Distrito del Servicio Civil",13,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Horarios Escalonados en las entidades Distritales,Diseñar la funcionalidad en el SIDEAP para el registro de los horarios escalonados que pacten las entidades con sus servidores públicos.,14,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Generación Eureka,"Espacios de innovación realizado con niños, niñas y adolescentes para el diseño y co-creación de contenidos con enfoque educativo y cultural destinados a la programación 24/7 de Eureka!.",15,7,Canal Capital,"Cultura, Recreación y Deporte"
Aplicativo Móvil Directorio Digital empresarial,"Desarrollar una plataforma web o App, Solución digital que sirva como vitrina local empresarial de las Pymes de la localidad, de los sectores comerciales más populares como lo son: Sanandresito de la 38, La alquería, Milenta, La 8 sur, la 56, Outlet de las Américas y Zona industrial. Desarrollada por los líderes Tic de la localidad y para el beneficio de la localidad.",16,8,Alcaldía Local De Puente Aranda,Sector descentralizado territorialmente
Aplicativo Kactus,"on el aplicativo Kactus se soportan los procesos de nómina de la Entidad, donde mediante el uso de esta nueva herramienta se han realizado los pagos de salarios y prestaciones sociales de Funcionarios de planta y la gestión de pago de honorarios a contratistas (Prueba piloto) durante los últimos meses, contando con el acompañamiento permanente de la consultoría por parte del Digital Ware.",17,9,Secretaría Distrital De Movilidad,Movilidad
Recorre Bogotá en Mapas,Herramienta geográfica que fue realizada por medio de la herramienta Experience Builder  que permite a la ciudadanía  tener información abierta relacionada con la movilidad,18,9,Secretaría Distrital De Movilidad,Movilidad
Aprovechamiento de datos para la Seguridad Vial,"El intercambio de información interoperable abarca todos los sistemas de información que
la SDM y TRANSMILENIO S.A. estimen conveniente integrar para el aprovechamiento
conjunto de los datos y la información.",19,9,Secretaría Distrital De Movilidad,Movilidad
"Sistema de información ""GEOCLICK 1.0 y 2.0""","Geoclick nace por la necesidad de información que tienen las áreas de gestión, los artistas, las organizaciones y el sector artístico y cultural de la ciudad de Bogotá. Es un Geovisor de datos abiertos y de libre acceso a la  ciudadanía, funciona como un sistema de información geográfico multicapa. chttps://idartes.maps.arcgis.com/apps/webappviewer/index.html?id=bad12857d5ba471ba506973fc3f35e67",20,10,Instituto Distrital De Las Artes,"Cultura, Recreación y Deporte"
Arte a la KY,"Durante los años 2021 y 2022 se formaron a 78 artistas del espacio público en temas asociados a comercialización, innovación y manejo de TIC´s.",21,10,Instituto Distrital De Las Artes,"Cultura, Recreación y Deporte"
Nencatacoa,"Nencatacoa es una propuesta colectiva de un espacio virtual de los diferentes pueblos que habitan la ciudad de Bogotá, para la divulgación de sus culturas y su identidad https://nencatacoa.co/",22,10,Instituto Distrital De Las Artes,"Cultura, Recreación y Deporte"
01 Tropa social,"01 Abordaje en territorio para identificación de necesidades, caracterización de población.",23,11,Secretaría Distrital De Integración Social,Integración Social
02 Una llamada de vida en Proyecto de Inversión 7564,"02 Mecanismo telefónico, disponible de lunes a viernes desde las 7 a.m. y hasta las 7 p.m. en la línea 3808400, que adaptó la atención de las Comisarías de Familia al contexto de las medidas de bioseguridad adoptadas a causa de la COVID 19, garantiza el acceso a la justicia y la protección de sus derechos a las víctimas de violencia intrafamiliar.",24,11,Secretaría Distrital De Integración Social,Integración Social
"03 Aplicativo administración de familias, Modelo de Atención Integral a Familias - MAIF PI 7752.","03 Aplicativo desarrollado en PowerApps que administra el registro, atención, relación y evaluación, de la atención a las familias que son sujetas de un abordaje integral para el restablecimiento de sus derechos, reconociendo ésta, como sujeto colectivo.",25,11,Secretaría Distrital De Integración Social,Integración Social
04 Servicio Social Parceros por Bogotá,"04 El servicio social Parceros por Bogotá tiene por objeto contribuir con la reducción del riesgo social de jóvenes altamente vulnerables a través de su inclusión en dinámicas educativas y sociales, orientación socio ocupacional y formación en habilidades para el trabajo que promuevan la prevención, promoción y protección de sus derechos mediante un modelo de Transferencias Monetarias Condicionadas.",26,11,Secretaría Distrital De Integración Social,Integración Social
"05 Reformulación de la política Pública de primera infancia, infancia y adolescencia.",05 Se reformula la política de PIIA debido a que la anterior finalizó en el año 2021 y se ajustan a las metas planteadas.,27,11,Secretaría Distrital De Integración Social,Integración Social
06 APP Ángeles de la calle y dispositivos móviles.,"06 APP Ángeles de la calle y dispositivos móviles. La estrategia móvil de abordaje en calle tiene como propósito dignificar la vida de las ciudadanas y ciudadanos habitantes de calle que permanecen en las calles de la ciudad, lo cual se realiza a través de jornadas colectivas y planes individuales de atención, y la promoción de la ciudadanía activa con los actores sociales del fenómeno.",28,11,Secretaría Distrital De Integración Social,Integración Social
"07 Pacto de convivencia, habitabilidad en calle","07 En la implementación del Proceso para la Convivencia y la Transformación de conflictos sociales en el servicio social, durante 2021 y 2022 se desarrolló un escenario de diálogo participativo con las personas habitantes de calle y en riesgo, así como con las servidoras/es públicos, para la identificación de las situaciones de conflictividad en el ingreso, prestación y egreso del servicio social.",29,11,Secretaría Distrital De Integración Social,Integración Social
08 Repositorio de buenas prácticas o experiencias,08 Repositorio de buenas prácticas o experiencias,30,11,Secretaría Distrital De Integración Social,Integración Social
"09 Ciudadanía activa habitabilidad en calle, servicios sociales transformados y nuevos","09 Servicios sociales transformados y nuevos.
Servicio Móvil de Abordaje Territorial FHC, Servicio de Autocuidado para Población Habitante de Calle y en Alto Riesgo de estarlo, Servicio de Desarrollo Integral y Diferencial para Población Habitante de Calle y en Alto Riesgo de estarlo, Servicio de Atención y Desarrollo de Capacidades para Mujeres Habitantes de Calle y en Alto Riesgo de estarlo y Servicio de Atención Sociosanitaria para Población Habitante de Calle y en Alto Riesgo de estarlo",31,11,Secretaría Distrital De Integración Social,Integración Social
10 Servicio Bogotá te acompaña en la Vejez.,"10 Servicio específico para su atención a personas mayores, con profesionales especializados en las áreas del Derecho, Trabajo Social y Psicología, que atienden los casos de manera oportuna, en el territorio y en el menor tiempo posible.",32,11,Secretaría Distrital De Integración Social,Integración Social
11 Estrategia Redes de cuidado comunitario - Programa Yo te cuido y me certifico,"11Evaluación y certificación de competencias laborales presenciales, dirigido a personas mayores cuidadoras de personas mayores, participantes del Servicio Social Centro Día. Busca reconocer labor del cuidado para conectar a varios actores con propósito de unir esfuerzos y consolidar redes de apoyo personas mayores. Beneficios: reconocimiento al trabajo de PM cuidadoras, dinamización de redes de cuidado, fortalecimiento de vínculos al cuidado comunitario, trasformación de prácticas de protección",33,11,Secretaría Distrital De Integración Social,Integración Social
"12 ""Visibilización de los servicios sociales en el territorio a través de la expresión artística"".","12 ""Visibilización de los servicios sociales en el territorio a través de la expresión artística"". En las ferias de servicios sociales dirigidas a la ciudadanía un componente lúdico - artístico  para facilitar el acceso a la información sobre la oferta institucional de la Subdirección Local de Fontibón.",34,11,Secretaría Distrital De Integración Social,Integración Social
"13 ""Maestros que preguntan, maestros que transforman"".","13 ""Maestros que preguntan, maestros que transforman"".  Fortalecimiento pedagógico profesionales en primera infancia de la localidad de Fontibón a través del rediseño de las jornadas pedagógicas en la localidad-.  La idea surge de funcionarios y contratistas. Se cuenta con experiencias pedagógicas sistematizadas a la luz de los lineamientos construidos colectivamente con el equipo de profesionales de Infancia. Este trabajo se validó entre el nivel central y local de la entidad.",35,11,Secretaría Distrital De Integración Social,Integración Social
14 Implementación de expedientes digitales,"14 Teniendo en cuenta la emergencia sanitaria del 2021 se implementaron los expedientes virtuales, con ayuda de gestión documental se escanearon los  procesos que se llevaban en físico y se creó por medio de SharePoint un archivo de gestión para las vigencias 2021 y 2022 de manera digital, permitiendo se trabajaran desde casa que el trabajo continuara, en el desarrollo de esta labor se organizaron los expedientes utilizando un índice virtual para garantizar el orden de los procesos.",36,11,Secretaría Distrital De Integración Social,Integración Social
15 Grupo Socioproductivo de Mujeres que Reverdecen,15 Conformar un grupo socioproductivo (GSP) de mujeres en condición de vulnerabilidad para la realización de actividades agrícolas y comunitarias que favorezcan la generación de ingresos.,37,11,Secretaría Distrital De Integración Social,Integración Social
16 Herramienta de seguimiento local de plantas físicas de los jardines infantiles de la SLIS Usaquén,16 La herramienta permite generar la planificación de la programación de intervenciones de plantas físicas de acuerdo a prioridades y enlazado con los procedimientos de la subdirección de plantas físicas.,38,11,Secretaría Distrital De Integración Social,Integración Social
17 herramienta de asignación y seguimiento del TH de los jardines infantiles de la SLIS Usaquén,"""17 La herramienta permite generar la planificación de la distribución del talento humano de forma articulada con los promedios de asistencia y coberturas de cada unidad operativa, resulta muy útil en las contingencias contractuales y permite la respuesta oportuna a los
requerimientos realizados desde otras instancias de la SDIS""",39,11,Secretaría Distrital De Integración Social,Integración Social
18 herramienta Presunta Vulneración de Derechos de los jardines infantiles de la SLIS Usaquén,18 La herramienta permite realizar el seguimiento a las acciones correspondientes a los casos de activación de rutas externas por presuntas vulneraciones de derechos de los y las participantes del servicio de Jardines infantiles,40,11,Secretaría Distrital De Integración Social,Integración Social
19 herramienta de atención a la ciudadanía,"""19 La herramienta permite recopilar la información de los solicitantes, establecer los cupos disponibles en cada jardin infantil de la localidad, asignar los cupos, engviar información del solicitante al jardín y ofrecer al ciudadano los requisitos y documentos que debe preparar para la matrícula.
Adicional a lo anterior permite generar estadísticas sobre la demanda, con miras a la proyección de coberturas de la siguiente vigencia """,41,11,Secretaría Distrital De Integración Social,Integración Social
20 herramienta de seguimiento a las coberturas y cupos disponibles,"20 La información arrojada en la herramienta permite la presentación del avance en el logro de las metas del servicio, adicionalmente ofrece información para la toma de decisiones en la asignación de maestras de acuerdo a las necesidades de cada unidad operativa teniendo en cuenta las coberturas actualizadas.",42,11,Secretaría Distrital De Integración Social,Integración Social
21 Formulario de inscripción a cursos virtuales – CDC Simón Bolívar,"""21 Creación del Formulario Google, para la inscripcion de ciudadanos a cursos virtuales y presenciales – CDC Simón Bolívar. Esta herramienta contiene todas las variables de la Ficha SIRBE, y permite obtener toda la información necesaria para el registro del participante en el aplicativo SIRBE, sin necesidad de tener comunicación
presencial. Así mismo, facilita la elaboración de listas de inscritos a cada curso y su envío a proveedores como el SENA.""",43,11,Secretaría Distrital De Integración Social,Integración Social
22 Gestión documental virtual,22 Gestión documental virtual para la entrega oportuna de evidencias de las actividades realizadas en el marco de entrega de ayudas humanitarias por COVID 19 y post pandemia,44,11,Secretaría Distrital De Integración Social,Integración Social
23 dialogo virtual de caracterización de los territorios,"""23 Diseño Metodologico para la realización de cartografías sociales virtuales en los sectores la Mariposa, el Codito y Tibabita de manera exitosa, en tiempo de pandemia.
Lectura integral de realidades 2021 y dio respuesta a indicadores sociales y territoriales""",45,11,Secretaría Distrital De Integración Social,Integración Social
24 Formulario de activación de usuarios,"24 Organización de formularios Google en un drive, para adelantar el trámite correspondiente ante nivel central y responder al funcionario.",46,11,Secretaría Distrital De Integración Social,Integración Social
"25 Metodología pedagógica ""experiencias significativas""",25 Metodología pedagógica en la creación de experiencias significativas orientadas a fortalecer el vínculo afectivo entre padres e hijos en primera infancia. Proceso continuo basado en la Pedagogía del Amor,47,11,Secretaría Distrital De Integración Social,Integración Social
"26 Herramienta de eficiencia administrativa ""Seguimiento a Bonos de Respuesta Social""","""26 Herramienta de eficiencia administrativa que permite el registro diario de información relacionada con el objeto, modalidades, beneficios y cumplimiento de metas del Servicio Respuesta Social. Constituye un
repositorio virtual de información administrativa de actividades del proyecto. Esta herramienta en drive ha permitido que todo el equipo trabaje en línea y la información fluya en tiempo real, facilitando, la articulación de acciones para aquellas personas que realizan Teletrabajo.""",48,11,Secretaría Distrital De Integración Social,Integración Social
"27 Herramienta pedagógica llamada “El Emocionario para las Familias""","""27 Se diseñó el formulario google que facilitó a través de 7 pasos la identificación de las emociones básicas, el reconocimiento de cómo las expresan en diferentes situaciones de la vida cotidiana, cuál es su utilidad y cómo las gestionan para resolver conflictos de la manera
más asertiva.""",49,11,Secretaría Distrital De Integración Social,Integración Social
28Hherramientas virtuales para programa de prevención integral de paternidad y maternidad tempranas,"""28 creación de metodologías y herramientas para implementación de un programa de prevencion integral de paternidad y maternidad tempranas.
Se han utilizado juegos con cartas, juegos con dados, plotter, tiro al blanco, videos de YouTube.""",50,11,Secretaría Distrital De Integración Social,Integración Social
29 Formación en sexualidad para manejo de información y estrategias trabajo con PCD o cuidadoras/es,"29 Diseño Metodológico del proceso de Formación y capacitación en sexualidad, relacionada con el manejo de información y estrategias para trabajar con personas con discapacidad o con sus cuidadoras o cuidadores.",51,11,Secretaría Distrital De Integración Social,Integración Social
30 Herramienta seguimiento a beneficiarios servicio apoyos económicos para persona mayor,"30 Creación de una matriz de Excell compartida en drive, para registro y conocimiento de la información por parte de todos los servidores públicos del servicio.",52,11,Secretaría Distrital De Integración Social,Integración Social
31 Herramienta de seguimiento a la asistencia de beneficiarios Centro Día,"31 Se digitalizó el archivo de asistencias, el cual permite semanalmente identificar quien no asiste para realizar el seguimiento respectivo",53,11,Secretaría Distrital De Integración Social,Integración Social
"32 Matriz de seguimiento, con metodología de semaforización para seguimiento de los participantes","32 Matriz de seguimiento, con metodología de semaforización para adecuado seguimiento de los participantes en actividades de desarrollo humano (nombre de actividad, fecha y número de horas por actividad). Permite alertar de manera oportuna al profesional sobre el avance de los participantes, en su proceso formativo",54,11,Secretaría Distrital De Integración Social,Integración Social
33 Uso código QR para agendamiento de citas de ciudadanos con los proyectos o servicios SDIS.,33 Se desarrollaron códigos QR para facilitar el agendamiento de citas de ciudadanos con los proyectos o servicios SDIS.,55,11,Secretaría Distrital De Integración Social,Integración Social
34 Repositorio de información fichas de crítica – área SIRBE.,34 Repositorio de información fichas de crítica – área SIRBE,56,11,Secretaría Distrital De Integración Social,Integración Social
"35 Sitio en SharePoint ""Transformación en el procedimiento de capacitación y desarrollo en la SDIS""","35 Aplicación interactiva basada en herramientas de Microsoft Office 365 (share Point, Teams, Outlook, etc. Este sitio fue implementada para servidores y contratistas con el fin de reducir los tiempos de aprendizaje y promover la mejora continua en el desempeño de cada cargo y recoge las propuestas presentadas en la subdirección local de Ciudad Bolívar, Dirección Territorial, Dirección Poblacional, Dirección para as familias y la inclusión, DADE y Servicio Integral de Atención a la Ciudadanía.",57,11,Secretaría Distrital De Integración Social,Integración Social
36 Feria Circense portafolio de servicios y el emocionario,36 Feria Circense portafolio de servicios y el emocionario,58,11,Secretaría Distrital De Integración Social,Integración Social
37 Estrategia de Comunicaciones SLIS Bosa,37 Estrategia Local de comunicaciones,59,11,Secretaría Distrital De Integración Social,Integración Social
38 Portafolio de servicios San Cristóbal,38 Portafolio de servicios. Archivo en Excel compartido en One Drive con los funcionarios y contratistas de la dependencia con el fin de que puedan consultar alimentar en línea la información relacionada con los servicios que se brindan en la localidad. Surgió de funcionarios y contratistas. Se contó con un prototipo inicial en Excel. Se compartía y válido con los funcionarios y contratistas,60,11,Secretaría Distrital De Integración Social,Integración Social
39 App Mapa de cupos disponibles en jardines infantiles,"39 Sitio web diseñado para disminuir el tiempo de traslado de las familias que están interesadas en solicitar un cupo para sus niñas y niños en los servicios de Jardines Infantiles y Creciendo Juntos con base en la gestión de coberturas, ejercicio que se realiza periódicamente para conocer la disponibilidad de cupos en cada unidad operativa para ofertar a la ciudad -Herramienta diseñada para reportar denuncias ciudadanas de presuntos casos de acompañamiento laboral en todo el Distrito",61,11,Secretaría Distrital De Integración Social,Integración Social
40 Denuncia ciudadana,40 Formato digital para la recepción de denuncias ciudadanas,62,11,Secretaría Distrital De Integración Social,Integración Social
41 Mapa de Gestión del Conocimiento. Instrumento de recolección de conocimiento estratégico,"41 Herramienta interactiva de autoconsulta que busca fortalecer el uso y apropiación del conocimiento tanto al interior como fuera de la entidad a través de la identificación, agrupación, sistematización, administración y visibilización del conocimiento estratégico: conocimiento explícito y tácito.",63,11,Secretaría Distrital De Integración Social,Integración Social
42 metodología para la recolección de info autoevaluación de PGC_I,"42 En 2022, la metodología empleada para la recolección de información autoevaluación de Política de Gestión del Conocimiento e Innovación involucró a 1842 personas vinculadas la SDIS; mientras que, en ocasiones anteriores, ésta fue realizado por un pequeño grupo (de 3 a 5 personas) de ""expertos"".",64,11,Secretaría Distrital De Integración Social,Integración Social
"""43 Riesgos de interrupción para la continuidad de negocio","43 El documento presenta los Riesgos de interrupción identificados en la entidad que afectan la continuidad del Negocio. La identificación de estos riesgos permite prevenir situaciones que interrumpan la continuidad de actividades y procesos críticos, afectando la entrega de los productos y/o servicios a los grupos de valor y comprometiendo el cumplimiento de la misionalidad de la entidad.",65,11,Secretaría Distrital De Integración Social,Integración Social
44 Power BI Reporte seguimiento indicadores estratégicos,"44 Un tablero de control con indicadores de Plan Estratégico Institucional, Plan de Acción Institucional Integrado y sus componentes: acciones, presupuesto, riesgos e indicadores.",66,11,Secretaría Distrital De Integración Social,Integración Social
45 Diseño del procedimiento para el seguimiento y la modificación de los planes de acción de PP,"45 El procedimiento agiliza el flujo de trabajo y dinamiza los puntos de control, para los funcionarios y contratistas involucrados en las políticas públicas.",67,11,Secretaría Distrital De Integración Social,Integración Social
46 Power BI y matriz para estandares de calidad para los servicios sociales,"46 Se diseña tablero de control en Power BI visualización y matriz en Excel para articular la información normativa, lineamientos internos, atributos, descripción de actividades y definición de requisitos para los estándares de calidad del servicio social.",68,11,Secretaría Distrital De Integración Social,Integración Social
47 Reporte de personas únicas atendidas.,47 Reporte de personas únicas atendidas.,69,11,Secretaría Distrital De Integración Social,Integración Social
49 Tablero de seguimiento presupuestal,"49 Es un tablero de control que permite visualizar el avance en materia de metas y presupuesto de los proyectos de inversión de la Entidad, los indicadores y la ejecución presupuestal",70,11,Secretaría Distrital De Integración Social,Integración Social
50 Grupos Focales,"50 Levantamiento de necesidades de capacitación, bienestar, incentivos y actividades en general de la Subdirección de Talento Humano de la SDIS.",71,11,Secretaría Distrital De Integración Social,Integración Social
51 Visor de servicios SDIS,"51Herramienta de visualización de datos sobre los SS que la SDIS presta en cada UO y le permite a la ciudadanía acceder a datos de interés como dirección, teléfono, descripción del servicio, población atendida, cobertura y requisitos de ingreso. Se recoge en él la propuesta de la subdirección local de Engativá llamada  Engatimap, con el fin de adaptarla a SLIS Power BI, con el acompañamiento y asesoría de la Subdirección de Investigación e Información, la Dirección Territorial y Subsecretaría.",72,11,Secretaría Distrital De Integración Social,Integración Social
53 Baúl gráfico Y comunicativo,"53 Banco de herramientas ágiles de comunicación a partir de plantillas para carteleras físicas y digitales, portafolios de servicios locales y divulgación de eventos y novedades. Adicionalmente, contiene el portafolio de servicios general en formato interactivo. Este ps iniciativas de las subdirecciones locales de Suba, Santafé – Candelaria, Barrios Unidos - Teusaquillo, Rafael Uribe, Los Mártires y San Cristóbal.",73,11,Secretaría Distrital De Integración Social,Integración Social
"55 Estrategia ""Más territorio, menos escritorio""","55 Estrategia institucional de participación para fortalecer la relación entre la SDIS y la ciudadanía escuchando las inquietudes, expectativas, propuestas y percepción sobre la pertinencia y calidad de los servicios sociales, mientras se promueve la construcción de respuestas integrales a las problemáticas de la población e implementan espacios de divulgación en los que se transmiten de modo constante e integral los avances y resultados de la gestión institucional.",74,11,Secretaría Distrital De Integración Social,Integración Social
"56 ""Escuela de liderazgo""",56 Se diseñó una estrategia para los gestores de la Subdirección de Talento Humano en las localidades.,75,11,Secretaría Distrital De Integración Social,Integración Social
57  SIRBE WEB,"57 Registro de Beneficiarios a través de solución en ambiente Web, en reemplazo progresivo del actual sistema SIRBE desarrollado en un ambiente cliente-servidor.",76,11,Secretaría Distrital De Integración Social,Integración Social
48 Cartas de alertas,"""48 Reporte de seguimiento de proyectos de inversión - Cartas de alertas Documento que contiene las alertas y recomendaciones sobre la ejecución de los proyectos de inversión de la Entidad en cuanto a su avance físico y presupuestal con el fin de brindar información al gerente del proyecto que facilite la toma de decisiones para una ejecución acorde a lo programado.""",77,11,Secretaría Distrital De Integración Social,Integración Social
MANUAL DE PROCESOS Y PROCEDIMIENTOS Y LINEAMIENTOS PARA ADELANTAR LOS CPS .,"Se identificaron las diferentes actividades desarrolladas dentro del grupo de contratación para desarrollar diferentes procedimientos que agilizaran de una manera más eficientes cada uno de los trámites en materia de contratación dentro de la Entidad.  

La innovación diseñada surgió de funcionarios y/o contratistas y conto como insumo para complementar y actualizar el MANUAL DE PROCESOS Y PROCEDIMIENTOS vigente en el año 2021 y Circular para adelantar los CPS"" .",78,12,Secretaría Distrital De Hábitat,Hábitat
Carnet Digital.,"Evitar la impresión de carnet institucional de la entidad garantizando, de manera digital, la plena identificación de los servidores públicos y sus accesos a ella. Beneficiarios Los servidores públicos, comprendiendo estos como funcionarios y contratistas se benefician pues esta alternativa permite que los funcionarios tengan acceso a su carnet tan pronto tienen activo su correo institucional. El carnet fue asociado a MICROSOFT TEAMS.",79,12,Secretaría Distrital De Hábitat,Hábitat
Escuela de líderes,"Espacio de aprendizaje, retroalimentacion y fortalecimiento de competencias de pertinencia institucional, que contribuye al mejoramiento continuo, la comunicación acertiva y ejecución de liderezgo positivo",80,13,Subred Integrada De Servicios De Salud Sur Occidente E.S.E.,Salud
Eventos de Salud Publica en Dinamica ,"Fichas de eventos de interés en salud publica en la historia clínica Dinámica permitiendo  disminuir  reprocesos  y tiempos, garantizando la  disponibilidad de  la ficha de notificación directamente en la  hcl de  los usuarios - Desarrollo de aplicativo  de BAI para detectar oportunamente los  eventos de interés en salud pública y poder garantizar  la notificación, toma de muestra e intervenciones permitiendo  disminuir  reprocesos  y tiempos a los epidemiólogos o auxiliares encargados del BAI",81,13,Subred Integrada De Servicios De Salud Sur Occidente E.S.E.,Salud
Hospital Universitario ,"En cumplimiento del objetivo institucional de la perpectiva proceso internos las Subred esta comprometida a avanzar en la implementación del Hospital Universitario en 3 sedes priorizadas (Tintal, Fontibón y Occidente de Kennedy)",82,13,Subred Integrada De Servicios De Salud Sur Occidente E.S.E.,Salud
Parque Santander,modelo de intervención en espacios públicos conflictivos,83,14,Fundación Gilberto Alzate Avendaño - Fuga,"Cultura, Recreación y Deporte"
Laboratorio de reciclaje y co-creación textil,"Desarrollar un laboratorio de co-creación de reciclaje textil para poner en diálogo las colecciones del 
Museo Nacional con las creaciones de un grupo de diseñadores, emprendedores y líderes sociales del 
centro de Bogotá.",84,14,Fundación Gilberto Alzate Avendaño - Fuga,"Cultura, Recreación y Deporte"
Herbario del Bronx: vida y memoria entre las ruinas,"Realización de un herbario y un ejercicio de memoria a través de las plantas. Entre las grietas de los antiguos edificios, apareció una vegetación ruderal (del latín ruderis, “escombro”), cuyo 
crecimiento espontáneo recuerda que la vida vegetal “insurge” y se abre paso entre lo inerte.",85,14,Fundación Gilberto Alzate Avendaño - Fuga,"Cultura, Recreación y Deporte"
SOLUCIÓN TECNOLÓGICA DE VIDEO CONFERENCIA BIGBLUEBUTTON PARA CONECTAR CON LA PLATAFORMA MOODLE,"Herramienta de fácil uso, que ofrece beneficios para una población con pocos conocimientos en tecnología, con un entorno intuitivo para concretar encuentros sincrónicos con los facilitadores de los cursos, lo anterior en el marco de una serie de requisitos para garantizar que se puedan llevar a cabo las sesiones realizadas de manera sincrónica y remota, fortaleciendo la implementación de nuevos métodos y aplicaciones tecnológicas que favorecen el aprendizaje virtual.",86,15,Secretaría Distrital De La Mujer,Mujeres
SIMISIONAL 2.0,"Se identificó la necesidad de mejorar los sistemas de recolección, almacenamiento y consulta de los datos producidos a nivel interno y externo, el SIMISIONAL 2.0  tiene un alcance que garantiza no solo la funcionalidad existente, sino que también incorpora un diseño de Arquitectura de Software, garantizando su escalabilidad e interoperabilidad con otros sistemas de información a nivel Distrital y Nacional.",87,15,Secretaría Distrital De La Mujer,Mujeres
SISTEMA DE INFORMACIÓN DE CUIDADO,Se diseño un sistema de información que estandarice los datos de servicios de cuidado a nivel Distrital optimizando así el registro de la información y la prestación de la oferta. Este ejercicio implicó el desarrollo de un sistema de información único de validación de identidad para acceso ágil de beneficiarias a las atenciones y la captura de la información,88,15,Secretaría Distrital De La Mujer,Mujeres
CAJA DE HERRAMIENTAS - INTEGRACIÓN DEL ANÁLISIS DE INFORMACIÓN CON ENFOQUE DE GENERO Y DIFERENCIAL,"Esta caja fue diseñada en el 2021 como herramienta para cualificar, mejorar y robustecer los procesos de captura de información cuantitativa y cualitativa al interior de las entidades, y favorecer los análisis con enfogue de género y diferecial a nivel distrital.",89,15,Secretaría Distrital De La Mujer,Mujeres
Aulas Digitales Itinerantes,"Solución tecnológica integrada por una maleta tipo Rack, que integra tabletas con cargador, computador portátil, video proyector portátil, cámara, micrófono, router con sus respectivos cableados, llevando información oportuna a las mujeres de la ciudad, especialmente aquellas que poseen dificultades de movilidad o que viven en zonas de difícil acceso y que no cuentan con herramientas tecnológicas o servicio de internet, desarrollando procesos de formación e información en sus territorios.",90,15,Secretaría Distrital De La Mujer,Mujeres
